campaign_id,seed,episode,exploration,selected_matching,zero_scale_matching,zero_scale_difference,optimal_matching,mode,true_value,optimal_value,value_ratio,observed_return,trajectory_fluctuation,trajectory_deviation,trajectory_sigma,shared_reset_deviation_scale,beta,beta_zero_scale,parameter_confidence_ratio,max_edge_confidence_ratio,raw_certificate_increment,clipped_certificate_increment,certificate_slack,cumulative_universal_utilization,tracking_tube_utilization,trajectory_fluctuation_utilization,trajectory_deviation_utilization,phase_fluctuation_tube_utilization,phase_deviation_tube_utilization,reset_utilization,actuator_utilization,validity_utilization,theta_hat_l1,theta_hat_l2
TRAJ-MICRO-V1,12031,25,0,0-1;1-3;2-4,0-1;1-0;2-4,1,0-1;1-0;2-2,1,0.7957724576438248,0.8164788909729692,0.974639352519611,0.7856234004511627,-0.010149057192661967,-0.010149057192661967,0.0548271522404341,0.0548271522404341,0.48466225553909265,0.275,0.08699063109422867,0.06016431826744148,0.5501644957706058,0.5501644957706058,0.9376975079279459,0.9748923258224308,0.07261592484259356,0.18511005547315676,0.18511005547315676,1.0,1.0,0.14731391274719735,0.0691580236596129,0.06723696744684589,1.2000000000000002,0.49453058832500146
TRAJ-MICRO-V1,12031,26,0,0-0;1-2;2-4,0-0;1-2;2-4,0,0-0;1-2;2-4,2,0.8131152777877347,0.8131152777877347,1.0,0.8118087131322985,-0.0013065646554362579,-0.0013065646554362579,0.0548271522404341,0.0548271522404341,0.48647337105397503,0.275,0.08545769601627896,0.06073456387588932,0.5200426225882157,0.5200426225882157,0.926600261482083,0.9707325326874794,0.13850035906993954,0.02383061315507626,0.02383061315507626,1.0,1.0,0.2704323955363994,0.13190510387613286,0.12824107321290695,1.1999999999999997,0.49467478228376605
TRAJ-MICRO-V1,12031,27,0,0-2;1-1;2-0,0-0;1-1;2-4,1,0-0;1-1;2-3,2,0.7477325262223792,0.7856095837335229,0.9517864110934885,0.7209352068976194,-0.026797319324759847,-0.026797319324759847,0.0548271522404341,0.0548271522404341,0.48799152007213487,0.275,0.08495418706763956,0.062475440458330735,0.604071786801197,0.6,0.9549277343556177,0.9718165129583135,0.1570622478013343,0.488760007217688,0.488760007217688,0.9999999999999999,0.9999999999999999,0.6373774391990982,0.1495830931441279,0.14542800722345767,1.1998957572973417,0.49470989185731534
TRAJ-MICRO-V1,12031,28,0,0-1;1-0;2-4,0-1;1-0;2-4,0,0-0;1-3;2-4,3,0.7861423020327508,0.789027297849088,0.9963436045568996,0.7771778209312304,-0.00896448110152034,-0.00896448110152034,0.0548271522404341,0.0548271522404341,0.4898656995698806,0.275,0.0825168920116488,0.06739655652079748,0.5929140733339823,0.5929140733339823,0.9845427264421891,0.9724012847177772,0.1492361651719506,0.16350440858588286,0.16350440858588286,1.0,1.0,0.4623404379410864,0.1421296811161434,0.13818163441847278,1.1987075801365346,0.49564535601026505
TRAJ-MICRO-V1,12031,29,0,0-0;1-2;2-4,0-0;1-2;2-4,0,0-0;1-2;2-4,2,0.8173892769766081,0.8173892769766081,1.0,0.8383733679941712,0.02098409101756307,0.02098409101756307,0.0548271522404341,0.0548271522404341,0.49076575159867186,0.275,0.08367676645380731,0.07241297801962829,0.5576531998572092,0.5576531998572092,0.9663478383455133,0.970919240408958,0.08097727292089896,0.38273173345829287,0.38273173345829287,1.0,1.0,0.17738944131173331,0.07712121230561804,0.07497895640823976,1.198503761133787,0.49569168196303237
TRAJ-MICRO-V1,12031,30,0,0-0;1-3;2-4,0-0;1-4;2-3,1,0-0;1-1;2-3,0,0.787704969922583,0.8085013586303481,0.9742778555833282,0.7844826192790102,-0.0032223506435727755,-0.0032223506435727755,0.0548271522404341,0.0548271522404341,0.4917892801239341,0.275,0.08387349967260793,0.0725316309189222,0.6038383410180319,0.6,0.9834542906074089,0.9718885990619928,0.0662713686089429,0.058772898315815614,0.058772898315815614,0.9999999999999999,0.9999999999999999,0.14731391274719746,0.06311558915137418,0.06136237834161379,1.1991851103804296,0.49561731824648525
TRAJ-MICRO-V1,12031,31,0,0-4;1-3;2-2,0-4;1-3;2-2,0,0-1;1-3;2-2,2,0.794577605819017,0.8338915846099727,0.9528548080871405,0.824987742958604,0.030410137139586946,0.030410137139586946,0.0548271522404341,0.0548271522404341,0.49300280369062977,0.275,0.0838739220781577,0.06839934816291467,0.5923713862660998,0.5923713862660998,0.9700031997801304,0.9723852779237618,0.07972283233595714,0.554654690183963,0.554654690183963,1.0,1.0,0.2517301244498869,0.07592650698662584,0.07381743734810846,1.19925241111556,0.4956727022809553
TRAJ-MICRO-V1,12031,32,0,0-3;1-2;2-1,0-0;1-2;2-1,1,0-0;1-2;2-1,0,0.8270463134405344,0.848410699685043,0.9748183441669939,0.8458518119306238,0.018805498490089424,0.018805498490089424,0.0548271522404341,0.0548271522404341,0.4946494338623493,0.275,0.10000957555042642,0.08039783131323668,0.4694993538306793,0.4694993538306793,0.8723403174286921,0.966451329333992,0.209338438060111,0.34299608353943806,0.34299608353943806,0.9999999999999999,0.9999999999999999,0.4419417382415922,0.19936994100962946,0.19383188709269533,1.1998231798761707,0.49536543075540573
TRAJ-MICRO-V1,12031,33,0,0-4;1-2;2-0,0-2;1-1;2-0,1,0-2;1-1;2-3,2,0.7918205193189354,0.8427036138048376,0.9396192283356147,0.7862432883852614,-0.005577230933674021,-0.005577230933674021,0.0548271522404341,0.0548271522404341,0.495562635091639,0.275,0.10628298695383223,0.08249633502495864,0.5600717024826182,0.5600717024826182,0.9305404148991347,0.9654513750351142,0.06684170908385051,0.10172388507825703,0.10172388507825703,1.0,1.0,0.08838834764831836,0.0636587705560481,0.06189047137393565,1.2,0.49526502759679614
TRAJ-MICRO-V1,12031,34,0,0-4;1-3;2-0,0-4;1-3;2-2,1,0-1;1-3;2-2,0,0.7930366911608318,0.8501788853034872,0.9327880342238123,0.8012492713574464,0.008212580196614623,0.008212580196614623,0.0548271522404341,0.0548271522404341,0.49634553153297967,0.275,0.10282022184837186,0.08265945507947713,0.5213039261999931,0.5213039261999931,0.8892511747090812,0.9626098603870225,0.07002162129712165,0.14979038416221047,0.14979038416221047,1.0,1.0,0.1473139127471974,0.06668725837821109,0.0648348345343719,1.199319494059157,0.4953275573471474
TRAJ-MICRO-V1,12031,35,0,0-3;1-2;2-1,0-3;1-2;2-1,0,0-0;1-2;2-4,0,0.8350607248751301,0.845797457598476,0.9873057874235855,0.8274022992173586,-0.007658425657771402,-0.007658425657771402,0.0548271522404341,0.0548271522404341,0.4969743847685546,0.275,0.10392519777525987,0.07880918091650595,0.3882991571247194,0.3882991571247194,0.8004611532006114,0.9535971575723798,0.06281187759768131,0.1396830830130813,0.1396830830130813,1.0,1.0,0.11785113019775798,0.05982083580731552,0.058159145923778986,1.199228165874056,0.4953476015553061
TRAJ-MICRO-V1,12031,36,0,0-4;1-2;2-0,0-2;1-1;2-3,1,0-2;1-1;2-3,2,0.7853459205871552,0.8358151191712653,0.9396167915290266,0.7834834255141618,-0.001862495072993365,-0.001862495072993365,0.0548271522404341,0.0548271522404341,0.4974609433747389,0.275,0.0991888975807791,0.07963196195634475,0.4778242395867555,0.4778242395867555,0.8452626005882782,0.9492298402132747,0.0884408451066574,0.03397030480127338,0.03397030480127338,1.0,1.0,0.08838834764831836,0.08422937629205465,0.08188967139505313,1.1986590471434664,0.4954142379524754
TRAJ-MICRO-V1,12031,37,0,0-1;1-3;2-2,0-1;1-3;2-2,0,0-1;1-3;2-2,3,0.8369287009079307,0.8369287009079307,1.0,0.8227576683061467,-0.014171032601784029,-0.014171032601784029,0.0548271522404341,0.0548271522404341,0.4979124282395526,0.275,0.09820244994089923,0.07024336477997344,0.4172864936406536,0.4172864936406536,0.835750844094619,0.9423716685697021,0.14522808575425286,0.25846742029641895,0.25846742029641895,1.0000000000000002,1.0000000000000002,0.22097086912079603,0.13831246262309796,0.13447044977245634,1.1983540943505222,0.4953197847663834
TRAJ-MICRO-V1,12031,38,0,0-0;1-2;2-4,0-0;1-2;2-4,0,0-3;1-2;2-4,2,0.8190527229264721,0.8242348931492511,0.9937127507390777,0.8387095769762634,0.0196568540497912,0.0196568540497912,0.0548271522404341,0.0548271522404341,0.49860204322749446,0.275,0.09715099006731687,0.06618615224634508,0.5041440850399157,0.5041440850399157,0.9110793613917623,0.9396839968108465,0.08065059910171421,0.35852407514418744,0.35852407514418744,1.0,1.0,0.13258252147247768,0.07681009438258496,0.07467648064973538,1.1979028235681544,0.49489739230717195
TRAJ-MICRO-V1,12031,39,0,0-2;1-1;2-4,0-2;1-1;2-4,0,0-2;1-4;2-3,2,0.7947910050436529,0.8095571940846702,0.9817601657438016,0.7849189556096201,-0.009872049434032706,-0.009872049434032706,0.0548271522404341,0.0548271522404341,0.49966724633380644,0.275,0.09731225158289321,0.07210246748190594,0.515201511786324,0.515201511786324,0.9052139197876418,0.9376066939775053,0.06337679989644791,0.18005767271553155,0.18005767271553155,1.0,1.0,0.11785113019775798,0.060358857044236096,0.05868222212634065,1.1983208704152248,0.4957968053689947
TRAJ-MICRO-V1,12031,40,0,0-1;1-3;2-4,0-1;1-3;2-4,0,0-1;1-3;2-4,1,0.8153392671758167,0.8153392671758167,1.0,0.8250788158005924,0.009739548624775692,0.009739548624775692,0.0548271522404341,0.0548271522404341,0.5004139685484283,0.275,0.09847677324267852,0.06712224803476685,0.4430404378574248,0.4430404378574248,0.8507100714453332,0.9326265448721269,0.0990744701697313,0.17764097216037675,0.17764097216037675,1.0,1.0,0.17738944131173337,0.09435663825688693,0.09173562052752895,1.1981290305418137,0.4955472095074999
TRAJ-MICRO-V1,12031,41,0,0-3;1-2;2-4,0-0;1-2;2-4,1,0-0;1-2;2-4,1,0.8126825731491215,0.8301982264502342,0.9789018420624599,0.8150971310150975,0.002414557865975972,0.002414557865975972,0.0548271522404341,0.0548271522404341,0.5011912366710864,0.275,0.09714631986131246,0.07538530392280098,0.4512759182163395,0.4512759182163395,0.848859378140344,0.9282241054937962,0.11359427897843956,0.044039454308831966,0.044039454308831966,1.0,1.0,0.11785113019775798,0.10818502759851385,0.10517988794299958,1.1984351047893682,0.49606979737638723
