schema_version,campaign_id,epoch,design_trial_index,scenario_seed,agents,tasks,q,screened_elements,enumerated_feasible_sets,maximal_feasible_sets,maximum_cardinality,branch_and_bound_leaves,curvature,exact_optimum_value,exact_score_greedy_value,exact_score_greedy_ratio,zero_shortfall_certificate_slack,approximate_greedy_value,approximate_shortfall_sum,nonuniform_channel_certificate_slack,exact_optimum_crosscheck,feasibility_and_maximality_checks,finite_channel_checks
exact-oracle-audit-v1,SAT-COV-V1,12,1,4152013627,5,8,3,21,487,168,4,12,0.7208659862342115,1.3390479080313487,1.3390479080313491,1.0000000000000002,0.97917256906850647,1.1726919533926414,0.24917468627155967,1.0137171740253965,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,13,1,4152013627,5,8,3,21,551,186,4,6,0.75457225649547643,1.4273974758215497,1.42739747582155,1.0000000000000002,1.0472216852632177,1.2576359531054568,0.22929093327323313,1.0606695277763238,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,14,1,4152013627,5,8,3,22,755,246,4,6,0.721322044479073,1.2660400632402564,1.2326662819469421,0.97363923760208759,0.89245383913551046,1.1268350709651629,0.23033876340702553,0.97231370298189979,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,15,1,4152013627,5,8,3,23,885,302,4,6,0.79414406154457184,1.4494103791386765,1.4494103791386761,0.99999999999999967,1.0673979000056009,1.3183600471610828,0.21420452590757089,1.1057174093674293,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,16,1,4152013627,5,8,3,23,1021,372,4,24,0.77821553534034549,1.4913742668209933,1.4913742668209928,0.99999999999999967,1.0966444657095673,1.1295564381107219,0.57339184565308865,1.1901144629237934,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,17,1,4152013627,5,8,3,23,1021,372,4,6,0.76691433396983055,1.4538173019207392,1.4538173019207392,1,1.0678734834456831,1.2097327546846195,0.35249365539072652,1.1045176367897367,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,18,1,4152013627,5,8,3,24,1630,400,5,20,0.72548743746269073,1.2639351868723669,1.2278222268025267,0.97142815514203507,0.88855516226688769,1.0288887680857033,0.30341376301497508,0.93394980942199313,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,19,1,4152013627,5,8,3,25,1980,497,5,10,0.78276675024776077,1.3902363626447394,1.3902363626447396,1.0000000000000002,1.022717968190817,1.1286933687466503,0.27779824572329342,0.98148851519907487,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,20,1,4152013627,5,8,3,27,3073,682,5,35,0.8057492448207807,1.5258292037397105,1.509389156342468,0.98922549957954076,1.1084617421634593,1.1955412807717216,0.45446254374008221,1.1528580764748202,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,21,1,4152013627,5,8,3,26,2877,627,5,176,0.80682113171698877,1.5057974574914985,1.5057974574914985,1,1.1102449990516297,1.163925858230535,0.46805159221486198,1.1372257120114062,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,22,1,4152013627,5,8,3,27,3639,828,5,123,0.71233612974587723,1.1669768232743301,1.1669768232743298,0.99999999999999978,0.85262575632118365,0.97611558751267891,0.19847269665516276,0.82215357724935534,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,23,1,4152013627,5,8,3,25,2754,582,5,187,0.70982483508262439,1.1727732445590311,1.1505960866358464,0.98108998646918877,0.83446977429126068,0.97786989356547693,0.31763431193186142,0.91860286114814993,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,24,1,4152013627,5,8,3,26,3110,676,5,267,0.73699251507079111,1.1974989977971733,1.1856883089666306,0.99013720357823365,0.8652437287412702,1.0744267597383987,0.31457399745580494,1.0065173367448257,1,1,1
